title;rating
Mesmo com alta do dólar, gastos de brasileiros no exterior batem recorde;verdadeiro
Para Dilma, é 'apressada' a tese de que emergentes perderão dinamismo;verdadeiro
Temos sido capazes de reduzir a inflação', diz Tombini em Davos;verdadeiro
Governo argentino autoriza compra de dólares após queda do peso;verdadeiro
Petrobras desiste de parte da área de Bem-te-vi e amplia a de Carcará;verdadeiro
Consórcio deverá investir R$ 5,1 bilhões em linha de Belo Monte;verdadeiro
STF marca julgamento de planos econômicos para os dias 26 e 27;verdadeiro
Inflação pelo IGP-DI desacelera em janeiro, mostra FGV;verdadeiro
Pico de demanda e calor elevam risco de mais apagões, dizem analistas;verdadeiro
Governo não deixará alta da energia chegar a consumidor, diz Mantega;verdadeiro
Mais de 230 cidades do país não têm dependências bancárias, segundo BC;verdadeiro
Mercosul 'emperra' relação do Brasil com União Europeia;verdadeiro
Confiança do consumidor diminui em fevereiro, diz FGV;verdadeiro
Superávit nas contas do governo cai 50% em janeiro, para R$ 12,95 bilhões;verdadeiro
Confiança do comércio cai 1,2% no trimestre até fevereiro, diz FGV;verdadeiro
Economia da Índia cresce 4,7% no 4º trimestre de 2013;verdadeiro
Governo dos EUA reduz estimativa de alta do PIB no 4º trimestre a 2,4%;verdadeiro
Brasil criou em fevereiro 260 mil vagas de trabalho com carteira ;verdadeiro
Corrigir FGTS pela inflação elevaria juros para financiar imóveis, diz BC;verdadeiro
Preço de hortaliças e legumes avança e pressiona o IPC-S de março, diz FGV;verdadeiro
Warren Buffett passa Slim e assume 2º lugar entre mais ricos do mundo;verdadeiro
Criação de empregos formais tem pior mês de março em 15 anos;verdadeiro
Desemprego fica em 5% em março, diz IBGE;verdadeiro
Indústria paulista cria 6 mil novas vagas em março;verdadeiro
Prévia da inflação oficial tem maior taxa desde janeiro de 2013, diz IBGE;verdadeiro
Herança da hiperinflação, indexação ainda afeta grande parte dos preços;verdadeiro
Governo tenta convencer chineses a investir em ferrovias no Brasil;verdadeiro
Regime de metas de inflação é adequado para o país, diz Tombini;verdadeiro
Prévia do PIB' tem expansão de 0,29% no primeiro trimestre de 2014;verdadeiro
Orçamento da Caixa para habitação deve chegar a R$ 150 bilhões em 2014;verdadeiro
Legumes sobem menos e inflação pelo IPC-S desacelera, aponta FGV;verdadeiro
Supremo volta a adiar julgamento dos planos econômicos;verdadeiro
Agência de risco eleva nota da dívida da Irlanda;verdadeiro
Free shop de SP terá iPhone mais barato, mas 4G pode não funcionar;verdadeiro
Índice de Preços ao Produtor tem deflação em julho, diz IBGE;verdadeiro
Lagarde, diretora do FMI, é investigada em caso francês de fraude;verdadeiro
Desemprego na região metropolitana de SP fica em 11,4% em julho;verdadeiro
Veja repercussão da morte de Antônio Ermírio de Moraes;verdadeiro
Inadimplência das empresas tem maior alta para julho desde 2000;verdadeiro
TCU adia pela 3ª vez decisão sobre bloqueio de bens de Graça Foster;verdadeiro
Dívida pública recua 1,35% em julho, para R$ 2,17 trilhões;verdadeiro
Confiança da indústria tem 8ª queda e é a menor desde abril de 2009;verdadeiro
Mantega promete ajustes na economia em 2015, sem 'choque';verdadeiro
Decreto sobre Reintegra é publicado, mas ainda falta regulamentação;verdadeiro
OCDE reduz estimativa de crescimento do Brasil para 0,3%;verdadeiro
Balança registra déficit de US$ 714 milhões na parcial de setembro;verdadeiro
Petrobras diz que identificou autor de alterações no perfil de ex-diretor;verdadeiro
Redução do IR sobre lucro no exterior será ampliada para toda a indústria;verdadeiro
Por que o Brasil parou de crescer?;verdadeiro
TCU aponta superfaturamento de R$ 243 milhões em refinaria da Petrobras;verdadeiro
Gastos de brasileiros no exterior batem recorde para meses de agosto;verdadeiro
Déficit das contas externas cai até agosto, e investimento direto sobe;verdadeiro
Construção civil reduz atividade e número de empregados em agosto;verdadeiro
Confiança do consumidor volta a subir em setembro, diz FGV;verdadeiro
Argentina 'pagará todas as suas dívidas', diz Cristina Kirchner;verdadeiro
Air France propõe suspensão de projeto para acabar com greve;verdadeiro
Após dólar superar R$ 2,40, BC aumenta intervenção no câmbio;verdadeiro
Diretora do FMI alerta para riscos de nova recessão na zona do euro;verdadeiro
FMI sugere que Brasil deve manter Bolsa Família;verdadeiro
Azul e Avianca terão 21 novos voos por dia em Congonhas, diz Anac;verdadeiro
Justiça aceita outra denúncia contra Eike por crime contra o mercado;verdadeiro
Argentina rejeita plano do Grupo Clarín e tentará redistribuir licenças;verdadeiro
Tesouro vende R$ 178,9 milhões em ações do BB para fazer caixa ;verdadeiro
Pedidos de falências crescem no pior setembro em 4 anos;verdadeiro
IGP-M volta a ter deflação em outubro, mostra FGV;verdadeiro
Termina greve em bancos privados, Caixa Econômica e Banco do Brasil;verdadeiro
Inflação de baixa renda acumula alta de 6,15% em 12 meses, diz FGV;verdadeiro
Ministro diz não ser necessária nova ajuda a distribuidoras de energia;verdadeiro
Confiança do empresário segue baixa em dezembro, diz pesquisa da CNI;verdadeiro
Demanda das empresas por crédito cai 10% em novembro, diz Serasa ;verdadeiro
Vendas no varejo sobem 1% em outubro, aponta IBGE;verdadeiro
Governo marca para abril leilão de energia A-5 ;verdadeiro
Agência de risco rebaixa a nota de crédito  da França;verdadeiro
Belfort concorre a prêmio de melhor lutador do ano no 'Oscar do MMA';verdadeiro
Nadal precisa de mais de duas horas para vencer número 74 do mundo;verdadeiro
Retrospectiva 2013: país festeja títulos mundiais no primeiro passo para 2016;verdadeiro
Central do Mercado: Inter contrata dois zagueiros, e Lúcio é do Verdão;verdadeiro
Recuperado de lesão, Messi se reapresenta e treina após viagem;verdadeiro
Novo Beira-Rio avança e tem quase 100% das cadeiras instaladas, foto;verdadeiro
Handebol: seleção masculina encara Suécia, Egito e Espanha em torneio;verdadeiro
Treinador comemora o retorno de Patolino às raízes para voltar a vencer;verdadeiro
Fanático FC: com 120 camisas do Remo, torcedor faz 'velório' do rival;verdadeiro
Nova imagem mostra sangue na neve após acidente de Schumacher;verdadeiro
Com defesa sólida, seleção masculina derruba a Suécia em torneio amistoso;verdadeiro
Ameaça de atentado causa pânico e faz shopping ser evacuado em Sochi;verdadeiro
Brenneman volta ao UFC para substituir High diante de Dariush;verdadeiro
Confira todos os grupos, os jogos e os sistemas das eliminatórias de 2014;verdadeiro
Motivada, Isabel Clark embarca para Europa pronta para o choque térmico;verdadeiro
Curtindo as férias, musa do judô mostra resultado do bronzeado;verdadeiro
Messi, Suárez, Cavani... Copa terálista de craques da América do Sul;verdadeiro
Central do Mercado: Bota empresta lateral ao Inter, Berna sai do Náutico;verdadeiro
Iarley marca três gols na estreia, e Ferroviário massacra o Crato por 7 a 2 ;verdadeiro
Brasileiro tem expulsão-relâmpago, e United é eliminado pelo Swansea;verdadeiro
Ex-atleta paralímpico quer disputar Jogos do Rio e ainda ajuda em obra;verdadeiro
Pedro Rizzo afirma: 'Acho que Chris Weidman não se considera vitorioso';verdadeiro
São Paulo goleia Auto Esporte e assume liderança do Grupo W;verdadeiro
Com 'portunhol' de Dinamite, Vasco apresenta gringos e anuncia laterais;verdadeiro
Irmãos de tatuagem': Neymar imita 'Tudo passa' de Scooby, que aprova;verdadeiro
R10 receberia bônus de R$ 65 mil por jogo no Besiktas, segundo site turco;verdadeiro
Sem pulo de Klose decide vitória do Lazio sobre Internazionale de Milão;verdadeiro
Central do Mercado: Fla acerta com Elano, e Walter vai para o Fluminense;verdadeiro
Corinthians finaliza mais um setor da Arena de Itaquera, veja a foto;verdadeiro
Ministro minimiza críticas de Blatter sobre a Copa: 'Já refez a declaração';verdadeiro
Sem Mari Paraíba, Barueri sofre, mas se impõe e bate o Rio do Sul em casa;verdadeiro
Imprensa espanhola vibra com Messi: 'Que bom que voltou';verdadeiro
Rivais vêm à Copa Brasil de velapara 'espiar' a Baía de Guanabara;verdadeiro
Ucranianos veem o futebol do Brasil como ultrapassado, diz Diego Souza;verdadeiro
Uberlândia sai de cena, e Natal fica perto de sediar UFC em 23 de março;verdadeiro
Com gol no fim, Vasco bate União Suzano e ainda sonha na Copinha;verdadeiro
CR7 perde muitos gols, mas dá assistência e Real bate Osasuna;verdadeiro
Grêmio quita salários de Elano e libera meia para assinar com o Flamengo;verdadeiro
Reforço para o garrafão, Bábby já treina no Pinheiros: 'É uma honra';verdadeiro
Lotus exibe carro da primeira vitória de Fittipaldi na F-1, no GP dos EUA de 70;verdadeiro
Justiça de SP determina que CBF devolva os quatro pontos à Lusa;verdadeiro
Central do Mercado: R10 fica no Galo, e Hernane pode deixar o Flamengo;verdadeiro
Falcao García passa em branco, e Montpellier e Monaco só empatam;verdadeiro
Suspenso por fraude em resultados, capitão do Lazio tem pena reduzida;verdadeiro
No primeiro teste do ano, Palmeiras é derrotado pelo RB Brasil;verdadeiro
Em Lisboa: Atlético-MG deve fechar com Elias, Flamengo fora da briga;verdadeiro
Sem espaço, Cortez entra em acordo e rescinde seu contrato com o Benfica;verdadeiro
Torcedor da Lusa que entrou na Justiça vê Brasileirão 2014 em risco;verdadeiro
“O que eu tenho pra dizer é: eu vou voltar”, afirma Anderson Silva;verdadeiro
Barbara Berlusconi pede 'mudança urgente' no Milan após derrota;verdadeiro
CR7 falha quatro vezes na véspera da Bola de Ouro, mas Pepe garante Real;verdadeiro
Com bênção de Zico, Elano chega ao Fla: 'Nasci para jogar em time grande' ;verdadeiro
Com Thiago Silva e Daniel Alves, Fifa anuncia a seleção do mundo em 2013;verdadeiro
Rubinho e Massa expressam luto pela morte de pai de piloto da F-1: 'Triste';verdadeiro
Seedorf chega de helicóptero a Saquarema e chora em despedida;verdadeiro
De virada, Flamengo-SP vence o Palmeiras e encara o Galo nas oitavas;verdadeiro
Jovem do Guarani estuda processar agressor após levar soco na Copinha;verdadeiro
Derrick Rose deixa as muletas, e Bulls demonstram confiança no retorno;verdadeiro
Duelo entre Mutante e CB Dollaway é fechado para UFC no Brasil em março;verdadeiro
Timão mata Juventude no 1º tempo e passa com goleada para pegar o Fla;verdadeiro
Alvo do America, Felipe se revolta ao responder sobre o clube: 'Me respeita';verdadeiro
Abalado por morte do pai, Button faz discurso emocionado em rede social;verdadeiro
Confiante em retorno de Dominick Cruz, treinador revela: 'Está arrasado';verdadeiro
Reforço GG, Walter promete entrar em forma no Flu: ‘Vou fazer de tudo’;verdadeiro
Acusado de suborno, Ecclestone é afastado do conselho da Fórmula 1;verdadeiro
Brasileiros na mira: Napoli vai atrás de Michel Bastos e revelação do Verona;verdadeiro
Thaísa brilha, Osasco elimina Minas e avança à semifinal da Copa do Brasil;verdadeiro
Às vésperas da estreia no Carioca,Boavista dispensa Jônatas, ex-Fla;verdadeiro
Radar da Copa: noites de gala de CR7 e Messi destoam de fase de Falcao;verdadeiro
Jornalista diz que lesão de Neymar 'está longe de pôr sua Copa em risco';verdadeiro
Resultados deste sábado da Copinha, Copa do Nordeste e mais 12 estaduais;verdadeiro
Lembra Dele? Aposentado, Robgol abandona política e 'corneta' Romário;verdadeiro
Reis' brilham, Juventus vence o Sampdoria e volta a disparar no topo;verdadeiro
Jamaica abaixo de zero: caribenhos garantem vaga no bobsled em Sochi;verdadeiro
Mano aprova reestreia no Timão, mas avisa: 'Um jogo é pouco';verdadeiro
