title;rating
Coronavírus: por que todos os casos no Brasil foram registrados em São Paulo?;verdadeiro
Dalai Lama é vacinado contra covid-19 e incentiva imunização: 'muito útil';verdadeiro
Não tem comprovação, diz chefe da Anvisa sobre tratamento precoce da covid;verdadeiro
Nos braços da mãe, bebê de três meses deixa hospital no Recife curado da Covid-19;verdadeiro
Roberto Jefferson diz que está com covid-19 e tomando hidroxicloroquina;verdadeiro
Criança de um ano diagnosticada com Covid-19 deixa hospital no Piauí e será tratada em casa;verdadeiro
App do Ministério da Saúde recomenda remédios sem eficácia contra covid-19;verdadeiro
Doria cobra governo federal por mais vacinas: 'Cadê o senso de urgência?';verdadeiro
Países começam a retirar seus cidadãos da China por causa de coronavírus;verdadeiro
Variante do coronavírus é encontrada em pessoas no Japão que estiveram no Brasil;verdadeiro
Pesquisadores alemães preparam show para testar poder de infecção do coronavírus em grandes eventos;verdadeiro
Alemanha confirma 1º caso de coronavírus em Starnberg;verdadeiro
SP registra queda em internações por covid-19 há oito semanas;verdadeiro
Santa Casa de Ribeirão Preto, SP, comemora 100ª alta de paciente curado da Covid-19;verdadeiro
Adolescente de SP testa positivo para coronavírus, mas Ministério da Saúde não classifica como caso confirmado;verdadeiro
Wuhan fecha hospital temporário e comemora queda de novos casos de Covid-19 no epicentro do surto;verdadeiro
Como está a vacinação contra a covid-19 pelo mundo;verdadeiro
Suspensão de restrições não permite embarque de todos os brasileiros para os EUA;verdadeiro
China encontra coronavírus pela primeira vez em alimentos congelados locais;verdadeiro
Uso da máscara provoca batalhas políticas e legais nos EUA;verdadeiro
Regulador dos EUA autoriza uso da Pfizer em adolescentes acima de 12 anos;verdadeiro
Governo de SP anuncia esquema de prevenção contra o coronavírus;verdadeiro
Hidroxicloroquina não diminuiu mortes entre pacientes com Covid-19, aponta novo estudo americano;verdadeiro
Novo coronavírus pode ter vindo de cobras vendidas no mercado de Wuhan, aponta estudo chinês;verdadeiro
Eduardo Bolsonaro critica STF por CPI da Covid e fala em 'esculhambação';verdadeiro
Índia supera um milhão de casos confirmados de coronavírus;verdadeiro
Israel decreta fechamento de lojas nos fins de semana e mais restrições após aumento nos casos de coronavírus;verdadeiro
Até 87% dos casos de Covid-19 em Wuhan eram leves ou sem sintomas e não chegaram a ser detectados, diz estudo;verdadeiro
Após ultrapassar a China, Brasil está entre os 10 países com mais casos confirmados de novo coronavírus;verdadeiro
Para conter covid, Paraíba terá toque de recolher e fechará acesso a praias;verdadeiro
Espanha sacrificará quase 100 mil visons por causa do coronavírus;verdadeiro
Anvisa facilita o registro para vacinas contra coronavírus;verdadeiro
Israel anuncia novo confinamento nacional por conta do coronavírus;verdadeiro
Hidroxicloroquina não é eficaz no tratamento de casos leves da Covid-19, aponta estudo;verdadeiro
Células T sustentam imunidade contra variantes do coronavírus, diz estudo;verdadeiro
Hospital das Clínicas investiga casos de reinfecção por coronavírus;verdadeiro
Pesquisas por remédios contra covid-19 avançam entre esperança e frustração;verdadeiro
Maranhão descarta um dos casos suspeitos de coronavírus em São Luís;verdadeiro
Estudo francês que recomendava hidroxicloroquina para tratamento de Covid-19 é retirado do ar;verdadeiro
Países da União Europeia iniciarão a vacinação no mesmo dia;verdadeiro
Casados há 70 anos, idosos vacinados se reúnem após meses afastados;verdadeiro
Gaza inicia campanha de vacinação contra a covid-19;verdadeiro
Tratamento precoce com hidroxicloroquina não evitou mortes em Porto Feliz;verdadeiro
Além do medo, Itália enfrenta uso político do coronavírus;verdadeiro
Revisão de estudo não garante eficácia da hidroxicloroquina contra covid-19;verdadeiro
Medicamento antiviral melhora tempo de recuperação de pacientes com Covid-19, diz estudo;verdadeiro
Procon fará levantamento de preços de máscaras e álcool gel em farmácias de São Paulo;verdadeiro
Como é feito o tratamento do coronavírus?;verdadeiro
Saúde de Goiás descarta três casos suspeitos de coronavírus em Goiânia;verdadeiro
EUA oferece ajuda ao Irã para combater epidemia de coronavírus;verdadeiro
Brasil manifesta interesse em entrar para grupo que negociará com produtores da futura vacina contra Covid-19, diz OMS;verdadeiro
Rússia anuncia testes clínicos de vacinas contra o coronavírus em seres humanos;verdadeiro
Bem Estar #47: por que a ivermectina não é a pílula mágica contra a Covid-19;verdadeiro
Médicos se dizem no escuro sobre CoronaVac e criticam plano sem aprovação;verdadeiro
O novo coronavírus tem cura?;verdadeiro
Saúde: Vacina da AstraZeneca pode proteger contra variantes do coronavírus;verdadeiro
Prefeitura de BH assina acordo com SP para comprar CoronaVac;verdadeiro
Brasil tem 132 casos suspeitos de coronavírus;verdadeiro
O que é o coronavírus?;verdadeiro
Existe vacina contra o coronavírus?;verdadeiro
Como se prevenir do coronavírus?;verdadeiro
RN entra em estado de alerta após detectar variantes do coronavírus;verdadeiro
A busca da USP por uma vacina nacional contra a covid-19;verdadeiro
Governos da UE e BCE precisam fazer mais para superar crise, diz Lagarde;verdadeiro
Paciente com coronavírus recebe alta após 44 dias internado no Hospital Mestre Vitalino, em Caruaru;verdadeiro
Reino Unido anuncia vacinação de pessoas entre 40 e 49 anos contra a Covid-19 a partir de abril;verdadeiro
Governadores pedem reunião com embaixador da China para garantir vacinas;verdadeiro
Primeiro lote de vacina só dá para 0,5% dos idosos no Brasil;verdadeiro
Por que covid-19 causa dores no corpo?;verdadeiro
Estudo tenta criar vacina única contra vários coronavírus nos EUA;verdadeiro
'Natal deste ano vai ser melhor', diz chefe do combate ao coronavírus de SP;verdadeiro
Covid-19 ameaça santuário de macacos resgatados em Camarões;verdadeiro
Moderna anuncia que vacina contra variante do coronavírus da África do Sul está pronta para testes em humanos;verdadeiro
Covid: em meio a aumento de internações, cidades do ABC pedem mais leitos;verdadeiro
O uso da cloroquina em pacientes com Covid-19;verdadeiro
Vinhedo monitora família que teve contato com paciente com coronavírus em SP;verdadeiro
Rússia registra a terceira vacina contra o novo coronavírus;verdadeiro
